channel_id,channel,classification
UCXPJCD_RONSS9-gcnFAKMew,Ezio Giuliano,3.0
UCuc1u1jRBWVlGXD7xPfppYA,Justine Tefertiller,3.0
UCy2g-dz4WwL_iik_rSAtvMQ,KV Show,3.0
UCJFMyqPpLYMsWXbS3lyPXKg,Theodor Gedack,3.0
UCdNO3SSyxVGqW-xKmIVv9pQ,settime2588,3.0
UCQkyTaQD9iAlIZReBm5wSHg,Freedom Influencer,3.0
UCZfGH5PBUxipEz3d3lOhJMQ,Upstate Flyer,3.0
UCaYjJXdlG_V_YwzBNGGn6Pw,Ebone Cruz,3.0
UC5OI8cXW5_cZqRlhuN0O_-A,Baron,2.0
UCWwrKihfdcr-ukg4SPDoDTg,Neoweather,3.0
UCYDMc5bimX8L-C8XebruFzg,climatecentral,3.0
UCbV6E5CRhwOnaeP2flOrsMg,Dustin Knight,3.0
UCtTMxwfFmqbf5eg1lRC-g2Q,Tornado Tim,3.0
UCzY9hqtwyoLOxUODLva2orA,Ray Bohac,3.0
UC-jaPJCDhzzL-5a-TWhywVA,wxfan77,3.0
UC7Zp7nSK7o6CObZ_pUBWGww,Vinnie Rattolle,3.0
UC8ubSBoZ2WKKkwj3c_jRTiw,The NostrADAmus Effect,3.0
UCB7BryuXaMe1pUMznYAq4Jg,MotivationGrid,3.0
UCCf7al4CBiLq2nU63atLBQA,Asir Jenifer,3.0
UCCfC7qhih8R5gwYkIHcVEpQ,Sniffr Media,3.0
UCCgPklmgyaNxhluMtdc_hMQ,August Taconi,3.0
UCJckKCmw60tlRFNBbf4ifNQ,Travels with Yoly,3.0
UCKOo2J72X9BhpauAKDHSiwQ,xstremer,3.0
UCKVY-LOOO5QsPvU2Tnn1RzA,Sean O'Beirne,3.0
UCL-iQjj_u9SE8qzhESpzHfA,Asha Jharkhand,3.0
UCMdulBEFhTbGZyDj_wFBB0g,NexChange,3.0
UCNFGSWVOdVWEe9XJNnfTdyQ,Entrepreneur,0.0
UCOmzeOPsXwJv-L-H66lyjZg,Performance Coaching,3.0
